sample_name	filename                         	num_genotypes	sample_genotype_fields
NA06984    	CEU.exon.2010_03.genotypes.vcf.gz	3162         	GT,DP_geno
NA06985    	CEU.exon.2010_03.genotypes.vcf.gz	3144         	GT,DP_geno
NA06986    	CEU.exon.2010_03.genotypes.vcf.gz	3437         	GT,DP_geno
NA06989    	CEU.exon.2010_03.genotypes.vcf.gz	3130         	GT,DP_geno
NA06994    	CEU.exon.2010_03.genotypes.vcf.gz	3002         	GT,DP_geno
NA07000    	CEU.exon.2010_03.genotypes.vcf.gz	3388         	GT,DP_geno
NA07037    	CEU.exon.2010_03.genotypes.vcf.gz	3374         	GT,DP_geno
NA07048    	CEU.exon.2010_03.genotypes.vcf.gz	3373         	GT,DP_geno
NA07051    	CEU.exon.2010_03.genotypes.vcf.gz	3451         	GT,DP_geno
NA07346    	CEU.exon.2010_03.genotypes.vcf.gz	3419         	GT,DP_geno
NA07347    	CEU.exon.2010_03.genotypes.vcf.gz	3417         	GT,DP_geno
NA07357    	CEU.exon.2010_03.genotypes.vcf.gz	3452         	GT,DP_geno
NA10847    	CEU.exon.2010_03.genotypes.vcf.gz	2988         	GT,DP_geno
NA10851    	CEU.exon.2010_03.genotypes.vcf.gz	3200         	GT,DP_geno
NA11829    	CEU.exon.2010_03.genotypes.vcf.gz	3418         	GT,DP_geno
NA11830    	CEU.exon.2010_03.genotypes.vcf.gz	3236         	GT,DP_geno
NA11831    	CEU.exon.2010_03.genotypes.vcf.gz	3431         	GT,DP_geno
NA11832    	CEU.exon.2010_03.genotypes.vcf.gz	3445         	GT,DP_geno
NA11840    	CEU.exon.2010_03.genotypes.vcf.gz	3008         	GT,DP_geno
NA11843    	CEU.exon.2010_03.genotypes.vcf.gz	3013         	GT,DP_geno
NA11881    	CEU.exon.2010_03.genotypes.vcf.gz	3087         	GT,DP_geno
NA11893    	CEU.exon.2010_03.genotypes.vcf.gz	3367         	GT,DP_geno
NA11918    	CEU.exon.2010_03.genotypes.vcf.gz	3407         	GT,DP_geno
NA11919    	CEU.exon.2010_03.genotypes.vcf.gz	3148         	GT,DP_geno
NA11920    	CEU.exon.2010_03.genotypes.vcf.gz	3421         	GT,DP_geno
NA11930    	CEU.exon.2010_03.genotypes.vcf.gz	3415         	GT,DP_geno
NA11992    	CEU.exon.2010_03.genotypes.vcf.gz	3432         	GT,DP_geno
NA11994    	CEU.exon.2010_03.genotypes.vcf.gz	3440         	GT,DP_geno
NA11995    	CEU.exon.2010_03.genotypes.vcf.gz	3071         	GT,DP_geno
NA12003    	CEU.exon.2010_03.genotypes.vcf.gz	3412         	GT,DP_geno
NA12004    	CEU.exon.2010_03.genotypes.vcf.gz	3197         	GT,DP_geno
NA12005    	CEU.exon.2010_03.genotypes.vcf.gz	3262         	GT,DP_geno
NA12006    	CEU.exon.2010_03.genotypes.vcf.gz	2833         	GT,DP_geno
NA12043    	CEU.exon.2010_03.genotypes.vcf.gz	3432         	GT,DP_geno
NA12044    	CEU.exon.2010_03.genotypes.vcf.gz	3113         	GT,DP_geno
NA12045    	CEU.exon.2010_03.genotypes.vcf.gz	3433         	GT,DP_geno
NA12058    	CEU.exon.2010_03.genotypes.vcf.gz	3144         	GT,DP_geno
NA12144    	CEU.exon.2010_03.genotypes.vcf.gz	3432         	GT,DP_geno
NA12154    	CEU.exon.2010_03.genotypes.vcf.gz	3352         	GT,DP_geno
NA12155    	CEU.exon.2010_03.genotypes.vcf.gz	3423         	GT,DP_geno
NA12156    	CEU.exon.2010_03.genotypes.vcf.gz	2822         	GT,DP_geno
NA12234    	CEU.exon.2010_03.genotypes.vcf.gz	3445         	GT,DP_geno
NA12249    	CEU.exon.2010_03.genotypes.vcf.gz	2827         	GT,DP_geno
NA12272    	CEU.exon.2010_03.genotypes.vcf.gz	3055         	GT,DP_geno
NA12273    	CEU.exon.2010_03.genotypes.vcf.gz	2914         	GT,DP_geno
NA12275    	CEU.exon.2010_03.genotypes.vcf.gz	2935         	GT,DP_geno
NA12282    	CEU.exon.2010_03.genotypes.vcf.gz	2515         	GT,DP_geno
NA12283    	CEU.exon.2010_03.genotypes.vcf.gz	3087         	GT,DP_geno
NA12286    	CEU.exon.2010_03.genotypes.vcf.gz	3071         	GT,DP_geno
NA12287    	CEU.exon.2010_03.genotypes.vcf.gz	3427         	GT,DP_geno
NA12340    	CEU.exon.2010_03.genotypes.vcf.gz	3143         	GT,DP_geno
NA12341    	CEU.exon.2010_03.genotypes.vcf.gz	2951         	GT,DP_geno
NA12342    	CEU.exon.2010_03.genotypes.vcf.gz	3164         	GT,DP_geno
NA12347    	CEU.exon.2010_03.genotypes.vcf.gz	3375         	GT,DP_geno
NA12348    	CEU.exon.2010_03.genotypes.vcf.gz	3332         	GT,DP_geno
NA12383    	CEU.exon.2010_03.genotypes.vcf.gz	3414         	GT,DP_geno
NA12400    	CEU.exon.2010_03.genotypes.vcf.gz	2917         	GT,DP_geno
NA12413    	CEU.exon.2010_03.genotypes.vcf.gz	3443         	GT,DP_geno
NA12414    	CEU.exon.2010_03.genotypes.vcf.gz	3292         	GT,DP_geno
NA12489    	CEU.exon.2010_03.genotypes.vcf.gz	3029         	GT,DP_geno
NA12546    	CEU.exon.2010_03.genotypes.vcf.gz	3447         	GT,DP_geno
NA12716    	CEU.exon.2010_03.genotypes.vcf.gz	3108         	GT,DP_geno
NA12717    	CEU.exon.2010_03.genotypes.vcf.gz	3115         	GT,DP_geno
NA12718    	CEU.exon.2010_03.genotypes.vcf.gz	2998         	GT,DP_geno
NA12748    	CEU.exon.2010_03.genotypes.vcf.gz	3362         	GT,DP_geno
NA12749    	CEU.exon.2010_03.genotypes.vcf.gz	3386         	GT,DP_geno
NA12750    	CEU.exon.2010_03.genotypes.vcf.gz	2955         	GT,DP_geno
NA12751    	CEU.exon.2010_03.genotypes.vcf.gz	2940         	GT,DP_geno
NA12760    	CEU.exon.2010_03.genotypes.vcf.gz	3330         	GT,DP_geno
NA12761    	CEU.exon.2010_03.genotypes.vcf.gz	2726         	GT,DP_geno
NA12762    	CEU.exon.2010_03.genotypes.vcf.gz	3366         	GT,DP_geno
NA12763    	CEU.exon.2010_03.genotypes.vcf.gz	2800         	GT,DP_geno
NA12775    	CEU.exon.2010_03.genotypes.vcf.gz	3416         	GT,DP_geno
NA12776    	CEU.exon.2010_03.genotypes.vcf.gz	3419         	GT,DP_geno
NA12812    	CEU.exon.2010_03.genotypes.vcf.gz	3017         	GT,DP_geno
NA12814    	CEU.exon.2010_03.genotypes.vcf.gz	3343         	GT,DP_geno
NA12815    	CEU.exon.2010_03.genotypes.vcf.gz	2906         	GT,DP_geno
NA12828    	CEU.exon.2010_03.genotypes.vcf.gz	3422         	GT,DP_geno
NA12829    	CEU.exon.2010_03.genotypes.vcf.gz	3326         	GT,DP_geno
NA12830    	CEU.exon.2010_03.genotypes.vcf.gz	3222         	GT,DP_geno
NA12842    	CEU.exon.2010_03.genotypes.vcf.gz	3109         	GT,DP_geno
NA12843    	CEU.exon.2010_03.genotypes.vcf.gz	3196         	GT,DP_geno
NA12872    	CEU.exon.2010_03.genotypes.vcf.gz	2864         	GT,DP_geno
NA12873    	CEU.exon.2010_03.genotypes.vcf.gz	2773         	GT,DP_geno
NA12874    	CEU.exon.2010_03.genotypes.vcf.gz	2981         	GT,DP_geno
NA12878    	CEU.exon.2010_03.genotypes.vcf.gz	3473         	GT,DP_geno
NA12889    	CEU.exon.2010_03.genotypes.vcf.gz	2509         	GT,DP_geno
NA12890    	CEU.exon.2010_03.genotypes.vcf.gz	3434         	GT,DP_geno
NA12891    	CEU.exon.2010_03.genotypes.vcf.gz	3451         	GT,DP_geno
NA12892    	CEU.exon.2010_03.genotypes.vcf.gz	3430         	GT,DP_geno
NA18486    	YRI.exon.2010_03.genotypes.vcf.gz	4971         	GT,DP_geno
NA18488    	YRI.exon.2010_03.genotypes.vcf.gz	4969         	GT,DP_geno
NA18489    	YRI.exon.2010_03.genotypes.vcf.gz	4509         	GT,DP_geno
NA18498    	YRI.exon.2010_03.genotypes.vcf.gz	4724         	GT,DP_geno
NA18499    	YRI.exon.2010_03.genotypes.vcf.gz	4603         	GT,DP_geno
NA18501    	YRI.exon.2010_03.genotypes.vcf.gz	4918         	GT,DP_geno
NA18504    	YRI.exon.2010_03.genotypes.vcf.gz	1849         	GT,DP_geno
NA18508    	YRI.exon.2010_03.genotypes.vcf.gz	4983         	GT,DP_geno
NA18516    	YRI.exon.2010_03.genotypes.vcf.gz	1994         	GT,DP_geno
NA18519    	YRI.exon.2010_03.genotypes.vcf.gz	5039         	GT,DP_geno
NA18520    	YRI.exon.2010_03.genotypes.vcf.gz	5062         	GT,DP_geno
NA18522    	YRI.exon.2010_03.genotypes.vcf.gz	1161         	GT,DP_geno
NA18523    	YRI.exon.2010_03.genotypes.vcf.gz	5134         	GT,DP_geno
NA18853    	YRI.exon.2010_03.genotypes.vcf.gz	4986         	GT,DP_geno
NA18856    	YRI.exon.2010_03.genotypes.vcf.gz	5063         	GT,DP_geno
NA18858    	YRI.exon.2010_03.genotypes.vcf.gz	5118         	GT,DP_geno
NA18861    	YRI.exon.2010_03.genotypes.vcf.gz	5012         	GT,DP_geno
NA18865    	YRI.exon.2010_03.genotypes.vcf.gz	4605         	GT,DP_geno
NA18867    	YRI.exon.2010_03.genotypes.vcf.gz	5080         	GT,DP_geno
NA18868    	YRI.exon.2010_03.genotypes.vcf.gz	4917         	GT,DP_geno
NA18870    	YRI.exon.2010_03.genotypes.vcf.gz	1879         	GT,DP_geno
NA18871    	YRI.exon.2010_03.genotypes.vcf.gz	2157         	GT,DP_geno
NA18877    	YRI.exon.2010_03.genotypes.vcf.gz	5062         	GT,DP_geno
