FID	IID	SOL	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	Group
1328	NA06989	0	-0.0167222	0.0036511	-0.00808102	0.0143676	-0.0230693	0.00238617	-0.00632408	0.0232393	-0.00184577	0.00644711	1
1328	NA06984	0	-0.0142954	0.023318	-0.0153201	0.00874635	0.012489	0.0208124	0.0298514	0.0149314	-0.00796563	0.024489	1
1330	NA12340	0	-0.020561	0.0086398	-0.0101864	0.0122228	0.00722622	0.00204046	-0.0270438	-0.0122015	-0.000628566	-0.0127538	1
1330	NA12343	0	-0.0142163	0.0156509	-0.00255206	-0.000390325	-0.00837532	0.00933867	0.0171823	-0.00192459	-0.0017885	0.0211528	1
1330	NA12342	0	-0.0182814	0.0264246	0.00448965	-0.0254063	-0.00229076	-0.00196011	-0.0290562	0.00688208	-0.00437105	-0.0204244	1
1334	NA12146	0	-0.0144526	0.0202358	0.00518922	-0.0261832	0.0110741	-0.0133274	0.00299946	0.0250468	-0.0287361	0.0149784	1
1334	NA12239	0	-0.0140874	0.0127739	0.00741722	-0.0092509	0.00391011	-0.0293333	0.0147175	-0.00190751	-0.00614563	0.0055463	1
1334	NA12145	0	-0.0130755	0.0146001	-0.0249335	-0.00461843	-0.0131569	0.00090225	-0.00122133	0.00841428	0.00279321	-0.00511853	1
1334	NA12144	0	-0.0155482	-0.00306567	-0.0135533	0.00686491	-0.0337309	-0.024263	0.00317395	0.0108124	-0.0315583	-0.000349296	1
1340	NA07056	0	-0.0169881	0.0211139	0.0111997	-1.13E-05	0.0152576	-0.0159429	-0.036726	-0.020739	-0.0243514	0.012651	1
1340	NA07022	0	-0.0174106	0.032076	0.00865786	0.0418666	0.025723	-0.00564287	-0.0267058	0.0107546	0.0128117	0.0124515	1
1340	NA07000	0	-0.0201243	0.00924922	0.0034379	-0.0017968	0.00883988	0.010109	-0.0107721	0.0178163	-0.00522461	-0.00409633	1
1340	NA06994	0	-0.0143288	0.0229565	-0.0131231	-1.70E-06	0.0135669	0.0138169	-0.0188319	-0.00228704	-0.00809248	0.0206365	1
1341	NA06985	0	-0.0149498	0.00977573	-0.00740683	-0.0025176	0.0049712	0.000459822	0.0238186	0.015213	0.0176121	-0.0201566	1
1341	NA07055	0	-0.0166157	0.0304335	-0.021109	0.00358854	0.023804	0.00951177	0.00590003	-0.0197258	0.00482129	0.00508357	1
1341	NA06993	0	-0.0163325	0.0161734	-0.00284181	0.0153991	0.0469095	-0.00285925	-0.0234653	-0.00962823	-0.00708974	0.00349266	1
1344	NA12056	0	-0.0182554	0.0261648	0.00251023	0.00635255	-0.0138895	0.00971909	0.0244929	-0.0117142	-0.0163281	0.00533749	1
1345	NA07347	0	-0.017291	0.0060062	-0.0031538	0.0136032	0.0300504	0.0294039	-0.0139938	-0.00231947	0.0180499	-0.00438873	1
1345	NA07346	0	-0.0184891	0.0144388	-0.00644927	0.00843781	-0.00943808	0.0135252	0.0111149	0.00894471	-0.0161586	0.0226347	1
1345	NA07357	0	-0.0139376	-0.00137215	0.0207712	-0.00342194	0.00961707	0.01699	0.000295105	0.00814099	0.00555333	-0.00760256	1
1345	NA07345	0	-0.0189734	0.0117076	-0.00183895	-0.0277947	0.0192168	-0.00966772	0.0272475	0.0140256	-0.0152944	0.0389557	1
1346	NA12045	0	-0.0121153	0.0294469	0.0147308	-0.0159437	0.0128315	-0.0226047	0.0186277	-0.0057653	-0.0148419	-0.0317542	1
1346	NA12044	0	-0.0147644	0.0221368	-0.000860866	0.0206994	-0.00494866	-0.0294259	0.00298408	0.00221645	0.00346547	0.012062	1
1346	NA12043	0	-0.0176305	0.0189151	0.0107124	0.0059395	0.00141391	0.00863741	0.00855653	-0.0152369	-0.00272037	-0.0132598	1
1347	NA11882	0	-0.0191922	0.0112949	0.000574834	0.0201009	0.00498966	-0.00230651	0.00184021	0.00884353	-0.0131354	-0.00486152	1
1347	NA11881	0	-0.0172001	0.0174999	0.00303041	-0.00739766	-0.0101828	-0.00765305	-0.00997423	0.017635	0.0246714	-0.0174696	1
1349	NA11843	0	-0.0097137	0.0240228	-0.0062488	0.0146463	0.00358814	-0.0102803	0.00523596	0.0113833	-0.00619596	-0.0293149	1
1349	NA11839	0	-0.0158853	0.0134957	0.00942573	0.0130079	-0.0138869	-0.0255789	0.01983	0.00310544	-0.0199707	0.0368386	1
1349	NA11840	0	-0.0218999	0.0224956	0.00206599	0.0223149	-0.00100715	0.00768938	-0.0254348	-0.00489662	-0.0149647	0.0038396	1
1350	NA11831	0	-0.0112049	0.0123985	-0.000514006	-0.00353431	-0.0220065	0.0165861	-0.0206872	0.0123851	0.0109978	0.0210154	1
1350	NA11829	0	-0.0152395	0.0236839	-0.0298491	-0.0039346	0.0137267	-0.0269769	-0.00745657	0.0346978	-0.0227572	-0.00537659	1
1350	NA11832	0	-0.0149601	0.0191736	0.00754851	-0.0152894	0.00731169	0.0308831	0.00235158	-0.0165049	-0.00198116	-0.0163509	1
1350	NA11830	0	-0.0167229	0.0123837	0.0402594	-0.00714066	-4.51E-05	-0.0105198	0.0102408	-0.00970691	0.00415326	0.0155844	1
1353	NA12383	0	-0.0171092	0.0136958	0.0103858	0.00170093	-0.0286869	-0.0141048	-0.02055	-0.00610609	-0.000901418	0.00320915	1
1353	NA12546	0	-0.0147882	0.00684393	0.0195097	0.0157948	0.02252	-0.00567705	0.00240633	0.0244949	-0.0100404	-0.00401254	1
