title,name,case_maf,ctrl_maf,direction,effect_size,function_class,function_score,gf0,gf2,maf,population_attributable_risk,pos,sites_removal,variant_class
Kryukov2009European1800,R1,0.000141782221649,9.45274076378e-05,d,1.5,ns,8.0,0.999810009025,9.025e-09,9.5e-05,9.49909767145e-05,0.00000000,False,r
Kryukov2009European1800,R1,4.22827974016e-05,2.81890586797e-05,d,1.5,ns,10.0,0.999943340803,8.025889e-10,2.833e-05,2.83291974566e-05,0.05201680,False,r
Kryukov2009European1800,R1,8.35820588962e-07,5.5721393194e-07,d,1.5,ns,11.0,0.99999888,3.136e-13,5.6e-07,5.5999968642e-07,0.00028355,False,r
Kryukov2009European1800,R1,4.97013841178e-06,3.31343289034e-06,d,1.5,ns,16.0,0.999993340011,1.10889e-11,3.33e-06,3.32998891114e-06,0.00000000,False,r
Kryukov2009European1800,R1,9.11936648473e-06,6.07960217386e-06,d,1.5,ns,20.0,0.999987780037,3.73321e-11,6.11e-06,6.10996266829e-06,0.00000000,False,r
Kryukov2009European1800,R1,3.73128217739e-05,2.48756249691e-05,d,1.5,ns,22.0,0.999950000625,6.25e-10,2.5e-05,2.49993750313e-05,0.00066521,False,r
Kryukov2009European1800,R1,1.65671521329e-06,1.10447761803e-06,d,1.5,ns,33.0,0.999997780001,1.2321e-12,1.11e-06,1.10999876792e-06,0.00535378,False,r
Kryukov2009European1800,R1,8.35820588962e-07,5.5721393194e-07,d,1.5,ns,39.0,0.99999888,3.136e-13,5.6e-07,5.5999968642e-07,0.00000000,False,r
Kryukov2009European1800,R1,2.9850355187e-05,1.99004994826e-05,d,1.5,ns,40.0,0.9999600004,4e-10,2e-05,1.9999600016e-05,0.00000000,False,r
Kryukov2009European1800,R1,2.90145558853e-05,1.93432854435e-05,d,1.5,ns,49.0,0.999961120378,3.779136e-10,1.944e-05,1.94396221011e-05,0.08973600,False,r
Kryukov2009European1800,R1,8.35820588962e-07,5.5721393194e-07,d,1.5,ns,63.0,0.99999888,3.136e-13,5.6e-07,5.5999968642e-07,0.00142058,False,r
Kryukov2009European1800,R1,1.49252753628e-05,9.95024924877e-06,d,1.5,ns,73.0,0.9999800001,1e-10,1e-05,9.99990000195e-06,0.00002544,False,r
Kryukov2009European1800,R1,8.35820588962e-07,5.5721393194e-07,d,1.5,ns,74.0,0.99999888,3.136e-13,5.6e-07,5.5999968642e-07,0.00000000,False,r
